dataset,paradigm,win_ms,n_codes,vocab_size,seed,fold,accuracy,macro_f1,kappa,compression_ratio,mean_token_ms
bci_iv_2a,Motor Imagery,500,64,4096,789,4,0.2378472222222222,0.230514932687126,-0.01620370370370372,1.0771093485853307,3481.540667087542
bci_iv_2a,Motor Imagery,500,64,4096,789,5,0.2604166666666667,0.26043932549709764,0.01388888888888884,1.0771093485853307,3481.540667087542
bci_iv_2a,Motor Imagery,500,64,4096,789,6,0.2534722222222222,0.25480472826592365,0.00462962962962965,1.0771093485853307,3481.540667087542
bci_iv_2a,Motor Imagery,500,64,4096,789,7,0.2725694444444444,0.27319304181068294,0.03009259259259256,1.0771093485853307,3481.540667087542
bci_iv_2a,Motor Imagery,500,64,4096,789,8,0.2604166666666667,0.25989547544505376,0.01388888888888884,1.0771093485853307,3481.540667087542
bci_iv_2a,Motor Imagery,500,64,4096,2024,0,0.2725694444444444,0.2718285465484925,0.03009259259259256,1.0771093485853307,3481.540667087542
bci_iv_2a,Motor Imagery,500,64,4096,2024,1,0.2829861111111111,0.2806696029172276,0.04398148148148151,1.0771093485853307,3481.540667087542
bci_iv_2a,Motor Imagery,500,64,4096,2024,2,0.2864583333333333,0.2853724306723783,0.04861111111111116,1.0771093485853307,3481.540667087542
bci_iv_2a,Motor Imagery,500,64,4096,2024,3,0.2881944444444444,0.2869050437455628,0.05092592592592593,1.0771093485853307,3481.540667087542
bci_iv_2a,Motor Imagery,500,64,4096,2024,4,0.24131944444444445,0.23387425312954588,-0.011574074074074181,1.0771093485853307,3481.540667087542
bci_iv_2a,Motor Imagery,500,64,4096,2024,5,0.2604166666666667,0.26032155192112655,0.01388888888888884,1.0771093485853307,3481.540667087542
bci_iv_2a,Motor Imagery,500,64,4096,2024,6,0.2534722222222222,0.25483529014829176,0.00462962962962965,1.0771093485853307,3481.540667087542
bci_iv_2a,Motor Imagery,500,64,4096,2024,7,0.2743055555555556,0.2749951129287271,0.03240740740740744,1.0771093485853307,3481.540667087542
bci_iv_2a,Motor Imagery,500,64,4096,2024,8,0.2604166666666667,0.2599041751503909,0.01388888888888884,1.0771093485853307,3481.540667087542
physionet_mi,Motor Imagery,250,64,4096,42,0,0.2756785524215008,0.27519530073188964,0.034067078827215935,1.31634474591813,3323.5974189637573
physionet_mi,Motor Imagery,250,64,4096,42,1,0.27833954230973923,0.2782257196208964,0.037981240829777274,1.31634474591813,3323.5974189637573
physionet_mi,Motor Imagery,250,64,4096,42,2,0.2844374342797056,0.28431213889103935,0.046207652012817846,1.31634474591813,3323.5974189637573
physionet_mi,Motor Imagery,250,64,4096,42,3,0.28465608465608466,0.2790673234909639,0.046323091978123454,1.31634474591813,3323.5974189637573
physionet_mi,Motor Imagery,250,64,4096,42,4,0.28819599109131405,0.2878001327385111,0.050911730671854616,1.31634474591813,3323.5974189637573
physionet_mi,Motor Imagery,250,64,4096,123,0,0.2957074721780604,0.29577033140387854,0.06095147157942038,1.31634474591813,3323.5974189637573
physionet_mi,Motor Imagery,250,64,4096,123,1,0.2879356568364611,0.28781941981812165,0.05059115719456875,1.31634474591813,3323.5974189637573
physionet_mi,Motor Imagery,250,64,4096,123,2,0.2876200640341515,0.2873519735844936,0.05016657649705292,1.31634474591813,3323.5974189637573
physionet_mi,Motor Imagery,250,64,4096,123,3,0.2731554160125589,0.2729721288953585,0.030951105795611,1.31634474591813,3323.5974189637573
physionet_mi,Motor Imagery,250,64,4096,123,4,0.2976085031000886,0.2974532728625634,0.06371232561544415,1.31634474591813,3323.5974189637573
physionet_mi,Motor Imagery,250,64,4096,456,0,0.27644869750132905,0.27598135345321256,0.03548201391144212,1.31634474591813,3323.5974189637573
physionet_mi,Motor Imagery,250,64,4096,456,1,0.26862539349422876,0.26885260059560806,0.02491223357209915,1.31634474591813,3323.5974189637573
physionet_mi,Motor Imagery,250,64,4096,456,2,0.2740740740740741,0.2735110650085752,0.03195061719177272,1.31634474591813,3323.5974189637573
physionet_mi,Motor Imagery,250,64,4096,456,3,0.2860878661087866,0.2850232553827473,0.04790324793009759,1.31634474591813,3323.5974189637573
physionet_mi,Motor Imagery,250,64,4096,456,4,0.27697189483227563,0.27614017081280584,0.03632346021602806,1.31634474591813,3323.5974189637573
physionet_mi,Motor Imagery,250,64,4096,789,0,0.2689655172413793,0.26701079038774306,0.02556205381761434,1.31634474591813,3323.5974189637573
physionet_mi,Motor Imagery,250,64,4096,789,1,0.2880636604774536,0.28809372123956833,0.05074985534242382,1.31634474591813,3323.5974189637573
physionet_mi,Motor Imagery,250,64,4096,789,2,0.29832810867293624,0.29718920146389605,0.0643468942565395,1.31634474591813,3323.5974189637573
physionet_mi,Motor Imagery,250,64,4096,789,3,0.26343799893560405,0.2622897258384951,0.01803535023802061,1.31634474591813,3323.5974189637573
physionet_mi,Motor Imagery,250,64,4096,789,4,0.2903225806451613,0.28867527237223234,0.05335705281511771,1.31634474591813,3323.5974189637573
physionet_mi,Motor Imagery,250,64,4096,2024,0,0.2789585547290117,0.27824863934170896,0.038463363044298426,1.31634474591813,3323.5974189637573
physionet_mi,Motor Imagery,250,64,4096,2024,1,0.29157894736842105,0.2911649206823534,0.05553313038658003,1.31634474591813,3323.5974189637573
physionet_mi,Motor Imagery,250,64,4096,2024,2,0.2783068783068783,0.278398783164096,0.03788112609215066,1.31634474591813,3323.5974189637573
physionet_mi,Motor Imagery,250,64,4096,2024,3,0.2718700890518596,0.26965672901192717,0.029009934177111507,1.31634474591813,3323.5974189637573
physionet_mi,Motor Imagery,250,64,4096,2024,4,0.2967479674796748,0.29677041970048473,0.06238265156664502,1.31634474591813,3323.5974189637573
physionet_mi,Motor Imagery,500,64,4096,42,0,0.2687599787120809,0.2685615754622732,0.024883773368549855,1.3283123925268219,3199.548557937723
physionet_mi,Motor Imagery,500,64,4096,42,1,0.2847259180415114,0.28427721113738125,0.04606138672579574,1.3283123925268219,3199.548557937723
physionet_mi,Motor Imagery,500,64,4096,42,2,0.288117770767613,0.28625434607625583,0.050863573994487155,1.3283123925268219,3199.548557937723
