ablation,dataset,method,n_bins,vocab_size,condition,seed,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,balanced_accuracy_mean,kappa_mean,timestamp
A2,sleep_edf,mu_law,256,2048,proportional_V,123,0.6017785537148914,0.14651177542010482,0.4560647369774588,0.7026029635943843,0.5121250439548236,0.32769947530960686,2026-03-12T07:14:48.225423
A2,sleep_edf,mu_law,256,2048,proportional_V,456,0.6751745867309636,0.051673918691661776,0.6305116166645091,0.7198375567974181,0.5318998702682782,0.40297839457758916,2026-03-12T07:14:48.227925
A2,sleep_edf,mu_law,256,2048,proportional_V,789,0.6451928202503453,0.056306834875462855,0.5952971222740662,0.6922211263830604,0.5162106784929705,0.3641442503028734,2026-03-12T07:14:48.229425
A2,sleep_edf,mu_law,256,2048,proportional_V,2024,0.6592355840984607,0.06723185226387056,0.6021728659624592,0.7162983022344622,0.5222603060851551,0.3763617659687274,2026-03-12T07:14:48.230424
A2,sleep_edf,mu_law,256,512,fixed_V,42,0.6820872025941909,0.05738084107609094,0.6262296644849663,0.7295163413841482,0.5507435926183395,0.4014972064054896,2026-03-12T07:18:27.965343
A2,sleep_edf,mu_law,256,512,fixed_V,123,0.5568643583196649,0.24797833990425966,0.3112808644739352,0.719432056491541,0.4792630264498465,0.31166903662314294,2026-03-12T07:18:27.970847
A2,sleep_edf,mu_law,256,512,fixed_V,456,0.7063804062896181,0.03424284715635117,0.6762399498534302,0.736520862725806,0.5442750478383112,0.4398020294785585,2026-03-12T07:18:27.973849
A2,sleep_edf,mu_law,256,512,fixed_V,789,0.653990074064985,0.07248313601629067,0.5901622338697401,0.7178179142602301,0.5262143467496164,0.3770741621527193,2026-03-12T07:18:27.975349
A2,sleep_edf,mu_law,256,512,fixed_V,2024,0.6562947282100217,0.07694066994971833,0.5906209236364284,0.7225839770244425,0.5226628193656143,0.37506654914426557,2026-03-12T07:18:27.976347
A2,sleep_edf,mu_law,512,4096,proportional_V,42,0.6997568212455975,0.06512309951280507,0.6423824485606744,0.7557368071160765,0.47601611054948895,0.4113167114868279,2026-03-12T07:24:37.981460
A2,sleep_edf,mu_law,512,4096,proportional_V,123,0.7169286622547972,0.08779411543240681,0.6266759231480817,0.7714693303568445,0.5067947387359424,0.4433951006576719,2026-03-12T07:24:37.988959
A2,sleep_edf,mu_law,512,4096,proportional_V,456,0.7463512294220427,0.04652065264948784,0.7078296689416034,0.7847782763374612,0.5126216931558563,0.48368971096575963,2026-03-12T07:24:37.990459
A2,sleep_edf,mu_law,512,4096,proportional_V,789,0.6751085050331272,0.09956846581722686,0.5860388818615208,0.7561773043902255,0.45784691248271353,0.3935724632338647,2026-03-12T07:24:37.991959
