token_id,merge_level,length_base,duration_ms,dominant_freq_hz,spectral_entropy,hjorth_activity,hjorth_mobility,hjorth_complexity,band_delta,band_theta,band_alpha,band_beta,band_gamma
351,288,16,125.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
353,290,4,31.25,13.581221810508401,1.2344977967946407,0.0234375,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.5
354,291,5,39.0625,22.053155816871683,0.9182958340544897,0.0024999999999999996,1.0825317547305484,1.005662977687534,0.0,0.0,0.0,0.0,0.33333333333333326
357,294,4,31.25,11.58210487593933,1.301574289281613,0.0107421875,0.5685352436149612,1.865601444574912,0.0,0.0,0.0,0.0,0.5652173913043478
359,296,16,125.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
361,298,16,125.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
362,299,16,125.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
365,302,4,31.25,13.581221810508401,1.2344977967946407,0.0234375,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.5
368,305,4,31.25,11.58210487593933,1.301574289281613,0.0107421875,0.5685352436149612,1.865601444574912,0.0,0.0,0.0,0.0,0.5652173913043478
372,309,16,125.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
376,313,16,125.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
377,314,16,125.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
378,315,16,125.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
381,318,16,125.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
382,319,4,31.25,33.26706351930351,1.251629167387823,0.00390625,1.632993161855452,0.0,0.0,0.0,0.0,0.0,0.6666666666666667
384,321,4,31.25,13.581221810508401,1.2344977967946407,0.0234375,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.5
388,325,16,125.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
397,334,16,125.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
398,335,16,125.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
399,336,6,46.875,13.06704314795249,1.301574289281613,0.009114583333333334,0.6414269805898185,1.3779954745128076,0.0,0.0,0.0,0.0,0.5652173913043477
400,337,4,31.25,11.58210487593933,1.301574289281613,0.0107421875,0.5685352436149612,1.865601444574912,0.0,0.0,0.0,0.0,0.5652173913043478
408,345,4,31.25,13.581221810508401,1.2344977967946407,0.0234375,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.5
418,355,6,46.875,13.06704314795249,1.301574289281613,0.009114583333333334,0.6414269805898185,1.3779954745128076,0.0,0.0,0.0,0.0,0.5652173913043477
419,356,4,31.25,11.58210487593933,1.301574289281613,0.0107421875,0.5685352436149612,1.865601444574912,0.0,0.0,0.0,0.0,0.5652173913043478
421,358,5,39.0625,29.404207755828914,0.9182958340544897,0.00375,1.4433756729740645,0.4618802153517006,0.0,0.0,0.0,0.0,0.33333333333333326
422,359,5,39.0625,29.404207755828914,0.9182958340544897,0.00375,1.4433756729740645,0.4618802153517006,0.0,0.0,0.0,0.0,0.33333333333333326
430,367,4,31.25,13.581221810508401,1.2344977967946407,0.0234375,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.5
431,368,5,39.0625,22.053155816871683,0.9182958340544897,0.0024999999999999996,1.0825317547305484,1.005662977687534,0.0,0.0,0.0,0.0,0.33333333333333326
432,369,4,31.25,22.178042346202343,0.8631205685666311,0.0029296875,1.0886621079036347,0.9742785792574934,0.0,0.0,0.0,0.0,0.7142857142857141
438,375,4,31.25,11.58210487593933,1.301574289281613,0.0107421875,0.5685352436149612,1.865601444574912,0.0,0.0,0.0,0.0,0.5652173913043478
441,378,4,31.25,13.581221810508401,1.2344977967946407,0.0234375,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.5
442,379,6,46.875,13.06704314795249,1.301574289281613,0.009114583333333334,0.6414269805898185,1.3779954745128076,0.0,0.0,0.0,0.0,0.5652173913043477
443,380,16,125.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
445,382,16,125.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
449,386,16,125.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
450,387,4,31.25,22.178042346202343,0.8631205685666311,0.0029296875,1.0886621079036347,0.9742785792574934,0.0,0.0,0.0,0.0,0.7142857142857141
455,392,16,125.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
457,394,16,125.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
462,399,5,39.0625,22.053155816871683,0.9182958340544896,0.009999999999999998,1.0825317547305484,1.005662977687534,0.0,0.0,0.0,0.0,0.33333333333333337
466,403,16,125.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
468,405,5,39.0625,29.404207755828914,0.9182958340544897,0.00375,1.4433756729740645,0.4618802153517006,0.0,0.0,0.0,0.0,0.33333333333333326
474,411,5,39.0625,22.053155816871683,0.9182958340544897,0.0024999999999999996,1.0825317547305484,1.005662977687534,0.0,0.0,0.0,0.0,0.33333333333333326
475,412,16,125.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
483,420,16,125.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
484,421,4,31.25,11.58210487593933,1.301574289281613,0.0107421875,0.5685352436149612,1.865601444574912,0.0,0.0,0.0,0.0,0.5652173913043478
485,422,4,31.25,13.581221810508401,1.2344977967946407,0.0234375,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.5
487,424,6,46.875,13.06704314795249,1.301574289281613,0.009114583333333334,0.6414269805898185,1.3779954745128076,0.0,0.0,0.0,0.0,0.5652173913043477
489,426,16,125.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
490,427,16,125.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
491,428,16,125.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
492,429,16,125.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
493,430,5,39.0625,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
494,431,4,31.25,13.581221810508401,1.2344977967946407,0.0234375,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.5
495,432,16,125.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
496,433,16,125.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
497,434,4,31.25,33.26706351930351,1.251629167387823,0.00390625,1.632993161855452,0.0,0.0,0.0,0.0,0.0,0.6666666666666667
498,435,16,125.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
501,438,16,125.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
503,440,16,125.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
