dataset,classifier,acc_mean,acc_ci,kap_mean,kap_ci,acc_std,n_seeds
sleep_edf,BPE_Bigram_LogReg,0.7269235384844371,0.010504054168972366,0.5005161859783154,0.01959255986411447,0.00846101554796912,5
sleep_edf,BPE_Hist_LogReg,0.7187830300533817,0.014185971441203035,0.5062215555986762,0.013748029891483474,0.011426799880908015,5
sleep_edf,BPE_Hist_RF,0.7953813758285108,0.0024601869536465893,0.49697549808368,0.007114699668326965,0.0019816805712218654,5
sleep_edf,BPE_Seq_CNN,0.8422730903621712,0.002566983381256389,0.664625138151382,0.005345344923491633,0.002067705092795946,5
sleep_edf,BPE_Seq_CW_Transformer,0.76434456748858,0.0032076567408728337,0.48157269600792985,0.004606984370415702,0.002583767478774166,5
sleep_edf,BPE_Seq_Transformer,0.7905107527351365,0.0023311194872731146,0.5543743941298234,0.013039596591573204,0.0018777167281041572,5
sleep_edf,BPE_WindowedSeq_CNN,0.8513711062248852,0.0008969772841289778,0.6881491928583536,0.0017496800158697586,0.0007225151950956549,5
sleep_edf,BPE_Windowed_LogReg,0.7304820863106072,0.030426813366676745,0.5373849612995515,0.031662077672947535,0.024508797920240796,5
sleep_edf,Chronos_Binning,0.6829491272250248,0.0006104533890098059,-0.00285031763890322,0.0010204767632356236,0.0004917201998995134,5
sleep_edf,EEGNet,0.8534439633155528,0.027140758592901854,0.6733079929279523,0.08422473604973961,0.02186188082659946,5
sleep_edf,PSD_LogReg,0.8033162607580759,0.006653130343934002,0.6504770361145056,0.009327009449320207,0.005359096438113468,5
sleep_edf,Patching_LogReg,0.6853499605688576,0.000229548537802743,0.0,0.0,0.00018490134533955823,5
sleep_edf,VQ_LogReg,0.8590809706066083,0.0036601696638467176,0.690514690523539,0.008041208592358061,0.0029482666345618937,5
ssvep_nakanishi,BPE_Bigram_LogReg,0.08333333333333329,0.003296137416987642,-1.986258379993444e-17,0.003595786273077364,0.002655038662667485,5
ssvep_nakanishi,BPE_Hist_LogReg,0.0781481481481481,0.0014938646255887552,-0.005656565656565619,0.0016296705006422813,0.0012033079438035766,5
ssvep_nakanishi,BPE_Hist_RF,0.0858024691358024,0.0,0.0026936026936026,0.0,0.0,5
ssvep_nakanishi,BPE_Seq_CNN,0.0838271604938271,0.00747718143956266,0.0005387205387205401,0.00815692520679557,0.006022869588963201,5
ssvep_nakanishi,BPE_Seq_CW_Transformer,0.08703703703703698,0.00933861931441627,0.00404040404040402,0.010187584706635843,0.00752225778207034,5
ssvep_nakanishi,BPE_Seq_Transformer,0.07938271604938267,0.006781102766697321,-0.00430976430976428,0.0073975666545787674,0.0054621782236120705,5
ssvep_nakanishi,BPE_WindowedSeq_CNN,0.08271604938271601,0.0018771331106597286,-0.0006734006734006799,0.0020477815752650594,0.001512030705421754,5
ssvep_nakanishi,BPE_Windowed_LogReg,0.0753086419753086,0.0,-0.0087542087542087,0.0,0.0,5
ssvep_nakanishi,Chronos_Binning,0.0685185185185185,0.0,-0.0161616161616161,0.0,0.0,5
ssvep_nakanishi,EEGNet,0.08320987654320984,0.0011366605454354107,-0.00013468013468012,0.001239993322293092,0.0009155800601352907,5
ssvep_nakanishi,PSD_LogReg,0.1666666666666666,0.0,0.09090909090909083,5.515903188598619e-17,0.0,5
ssvep_nakanishi,Patching_LogReg,0.08259259259259254,0.00034271604938272677,-0.0008080808080807401,0.00037387205387206856,0.0002760577749999827,5
ssvep_nakanishi,SSVEP_FFT_LogReg,0.6544444444444444,0.003486620006139935,0.623030303030303,0.003803585461243639,0.0028084723866857457,5
ssvep_nakanishi,VQ_LogReg,0.0845679012345679,0.0,0.0013468013468013,0.0,0.0,5
