dataset,vocab_size,seed,fold,accuracy,balanced_accuracy,kappa
mental_arithmetic,1024,456,3,0.6857142857142857,0.6857142857142857,0.37142857142857144
mental_arithmetic,1024,456,4,0.5958333333333333,0.5958333333333333,0.19166666666666665
mental_arithmetic,1024,789,0,0.580952380952381,0.580952380952381,0.16190476190476188
mental_arithmetic,1024,789,1,0.5714285714285714,0.5714285714285714,0.1428571428571429
mental_arithmetic,1024,789,2,0.580952380952381,0.5809523809523809,0.16190476190476188
mental_arithmetic,1024,789,3,0.6476190476190476,0.6476190476190476,0.2952380952380952
mental_arithmetic,1024,789,4,0.5333333333333333,0.5333333333333333,0.06666666666666665
mental_arithmetic,1024,2024,0,0.6333333333333333,0.6333333333333333,0.2666666666666667
mental_arithmetic,1024,2024,1,0.6047619047619047,0.6047619047619048,0.20952380952380956
mental_arithmetic,1024,2024,2,0.5380952380952381,0.5380952380952382,0.07619047619047614
mental_arithmetic,1024,2024,3,0.6428571428571429,0.6428571428571428,0.2857142857142857
mental_arithmetic,1024,2024,4,0.5791666666666667,0.5791666666666666,0.15833333333333333
epfl_p300,1024,42,0,0.6365740740740741,0.5208333333333333,0.030864197530864224
epfl_p300,1024,42,1,0.6666666666666666,0.5138888888888888,0.022624434389140302
epfl_p300,1024,42,2,0.6134259259259259,0.5444444444444445,0.06003752345215774
epfl_p300,1024,42,3,0.6099537037037037,0.5270833333333333,0.037142857142857144
epfl_p300,1024,42,4,0.5723379629629629,0.5364583333333334,0.0452196382428941
epfl_p300,1024,42,5,0.5792824074074074,0.5197916666666667,0.025469168900804307
epfl_p300,1024,42,6,0.6354166666666666,0.5090277777777777,0.013569937369519725
epfl_p300,1024,42,7,0.6510416666666666,0.515625,0.024271844660194164
epfl_p300,1024,42,8,0.5769675925925926,0.5864583333333333,0.101965601965602
epfl_p300,1024,42,9,0.5966435185185185,0.5385416666666667,0.05040871934604907
epfl_p300,1024,123,0,0.6365740740740741,0.5208333333333333,0.030864197530864224
epfl_p300,1024,123,1,0.6678240740740741,0.5145833333333334,0.023809523809523836
epfl_p300,1024,123,2,0.6128472222222222,0.5440972222222222,0.05951265229615732
epfl_p300,1024,123,3,0.6099537037037037,0.5270833333333333,0.037142857142857144
epfl_p300,1024,123,4,0.5729166666666666,0.5368055555555555,0.045689655172413746
epfl_p300,1024,123,5,0.5792824074074074,0.5197916666666667,0.025469168900804307
epfl_p300,1024,123,6,0.6394675925925926,0.5114583333333333,0.017350157728706628
epfl_p300,1024,123,7,0.6550925925925926,0.5138888888888888,0.021881838074398363
epfl_p300,1024,123,8,0.5763888888888888,0.586111111111111,0.1014729950900165
epfl_p300,1024,123,9,0.5862268518518519,0.5336805555555556,0.04326494201605702
epfl_p300,1024,456,0,0.6371527777777778,0.5197916666666667,0.02941176470588236
epfl_p300,1024,456,1,0.6649305555555556,0.5128472222222222,0.02085682074408124
epfl_p300,1024,456,2,0.6134259259259259,0.5430555555555556,0.05827067669172925
epfl_p300,1024,456,3,0.609375,0.5267361111111111,0.03663177925784977
epfl_p300,1024,456,4,0.5717592592592593,0.5361111111111111,0.044750430292599064
epfl_p300,1024,456,5,0.5792824074074074,0.5197916666666667,0.025469168900804307
epfl_p300,1024,456,6,0.640625,0.5121527777777778,0.018440463645942984
epfl_p300,1024,456,7,0.6545138888888888,0.5135416666666667,0.021311475409836023
epfl_p300,1024,456,8,0.5769675925925926,0.5864583333333333,0.101965601965602
epfl_p300,1024,456,9,0.5873842592592593,0.534375,0.0442359249329759
epfl_p300,1024,789,0,0.6365740740740741,0.5194444444444444,0.028865979381443196
epfl_p300,1024,789,1,0.6666666666666666,0.5138888888888888,0.022624434389140302
epfl_p300,1024,789,2,0.6134259259259259,0.5430555555555556,0.05827067669172925
epfl_p300,1024,789,3,0.6099537037037037,0.5270833333333333,0.037142857142857144
epfl_p300,1024,789,4,0.5729166666666666,0.5354166666666667,0.04404145077720212
epfl_p300,1024,789,5,0.5792824074074074,0.5197916666666667,0.025469168900804307
epfl_p300,1024,789,6,0.6377314814814815,0.5104166666666666,0.01572327044025157
epfl_p300,1024,789,7,0.6504629629629629,0.5125,0.01948051948051943
epfl_p300,1024,789,8,0.5763888888888888,0.586111111111111,0.1014729950900165
epfl_p300,1024,789,9,0.5868055555555556,0.5340277777777778,0.04375000000000007
epfl_p300,1024,2024,0,0.6371527777777778,0.5211805555555555,0.031410916580844495
epfl_p300,1024,2024,1,0.6666666666666666,0.5138888888888888,0.022624434389140302
epfl_p300,1024,2024,2,0.6134259259259259,0.5430555555555556,0.05827067669172925
epfl_p300,1024,2024,3,0.6087962962962963,0.5263888888888889,0.0361216730038022
epfl_p300,1024,2024,4,0.5729166666666666,0.5368055555555555,0.045689655172413746
epfl_p300,1024,2024,5,0.5769675925925926,0.5184027777777778,0.02359750667853977
epfl_p300,1024,2024,6,0.6394675925925926,0.5114583333333333,0.017350157728706628
epfl_p300,1024,2024,7,0.6516203703703703,0.5131944444444445,0.02060737527114964
epfl_p300,1024,2024,8,0.5763888888888888,0.586111111111111,0.1014729950900165
epfl_p300,1024,2024,9,0.5879629629629629,0.5347222222222222,0.04472271914132364
ssvep_nakanishi,1024,42,0,0.07777777777777778,0.07777777777777778,-0.0060606060606061
ssvep_nakanishi,1024,42,1,0.06111111111111111,0.06111111111111111,-0.0242424242424244
ssvep_nakanishi,1024,42,2,0.06111111111111111,0.061111111111111116,-0.024242424242424176
ssvep_nakanishi,1024,42,3,0.1,0.09999999999999999,0.018181818181818188
ssvep_nakanishi,1024,42,4,0.1,0.09999999999999999,0.018181818181818188
ssvep_nakanishi,1024,42,5,0.06666666666666667,0.06666666666666667,-0.0181818181818183
ssvep_nakanishi,1024,42,6,0.08333333333333333,0.08333333333333333,0.0
ssvep_nakanishi,1024,42,7,0.06666666666666667,0.06666666666666667,-0.018181818181818077
ssvep_nakanishi,1024,42,8,0.10555555555555556,0.10555555555555556,0.024242424242424288
ssvep_nakanishi,1024,123,0,0.07777777777777778,0.07777777777777778,-0.0060606060606061
ssvep_nakanishi,1024,123,1,0.06111111111111111,0.06111111111111111,-0.0242424242424244
ssvep_nakanishi,1024,123,2,0.06666666666666667,0.06666666666666667,-0.018181818181818077
ssvep_nakanishi,1024,123,3,0.1,0.09999999999999999,0.018181818181818188
ssvep_nakanishi,1024,123,4,0.1,0.09999999999999999,0.018181818181818188
ssvep_nakanishi,1024,123,5,0.06111111111111111,0.061111111111111116,-0.024242424242424176
ssvep_nakanishi,1024,123,6,0.08333333333333333,0.08333333333333333,-2.220446049250313e-16
ssvep_nakanishi,1024,123,7,0.07222222222222222,0.07222222222222223,-0.0121212121212122
ssvep_nakanishi,1024,123,8,0.1,0.09999999999999999,0.018181818181818188
ssvep_nakanishi,1024,456,0,0.07777777777777778,0.07777777777777778,-0.0060606060606061
ssvep_nakanishi,1024,456,1,0.06111111111111111,0.06111111111111111,-0.024242424242424176
ssvep_nakanishi,1024,456,2,0.06111111111111111,0.061111111111111116,-0.024242424242424176
ssvep_nakanishi,1024,456,3,0.1,0.09999999999999999,0.018181818181818188
ssvep_nakanishi,1024,456,4,0.1,0.09999999999999999,0.018181818181818188
ssvep_nakanishi,1024,456,5,0.06111111111111111,0.061111111111111116,-0.024242424242424176
ssvep_nakanishi,1024,456,6,0.08333333333333333,0.08333333333333333,0.0
ssvep_nakanishi,1024,456,7,0.06666666666666667,0.06666666666666667,-0.018181818181818077
ssvep_nakanishi,1024,456,8,0.1,0.09999999999999999,0.018181818181817966
ssvep_nakanishi,1024,789,0,0.07777777777777778,0.07777777777777778,-0.0060606060606061
ssvep_nakanishi,1024,789,1,0.05555555555555555,0.05555555555555555,-0.030303030303030276
ssvep_nakanishi,1024,789,2,0.06111111111111111,0.061111111111111116,-0.024242424242424176
ssvep_nakanishi,1024,789,3,0.1,0.09999999999999999,0.018181818181818188
ssvep_nakanishi,1024,789,4,0.1,0.09999999999999999,0.018181818181818188
ssvep_nakanishi,1024,789,5,0.06111111111111111,0.061111111111111116,-0.024242424242424176
