dataset,classifier,vocab_size,n_codes,seed,cv_strategy,fold,accuracy,balanced_accuracy,macro_f1,kappa
physionet_mi,Spatial_BPE_RF,1024,128,123,5fold-subject,2,0.3351870576339737,0.3350755500364953,0.3335951318541629,0.11347670016346212
physionet_mi,Spatial_BPE_RF,1024,128,123,5fold-subject,3,0.356526155408837,0.3561757105232856,0.3535048487366119,0.1418380945108002
physionet_mi,Spatial_BPE_RF,1024,128,123,5fold-subject,4,0.33620689655172414,0.3362597752181319,0.3360199232484933,0.11507602943818152
physionet_mi,Spatial_BPE_LogReg,1024,128,456,5fold-subject,0,0.32931305715783954,0.3292555105470437,0.3286490243200976,0.10563769690027147
physionet_mi,Spatial_BPE_LogReg,1024,128,456,5fold-subject,1,0.34230573895378363,0.3423066902909147,0.342485987131296,0.12305026652189877
physionet_mi,Spatial_BPE_LogReg,1024,128,456,5fold-subject,2,0.3392315470171891,0.3391123008951621,0.33710767031376204,0.11892044796161116
physionet_mi,Spatial_BPE_LogReg,1024,128,456,5fold-subject,3,0.33011681056373793,0.3297142228253394,0.32875565532185697,0.10666918453423913
physionet_mi,Spatial_BPE_LogReg,1024,128,456,5fold-subject,4,0.30070993914807304,0.30083575164363124,0.30008238890292754,0.06772321055135999
physionet_mi,Spatial_BPE_RF,1024,128,456,5fold-subject,0,0.33036182485579446,0.32996906348400634,0.32774863809752247,0.10680893235447741
physionet_mi,Spatial_BPE_RF,1024,128,456,5fold-subject,1,0.3240223463687151,0.3243649086330944,0.3193801444982409,0.09901321636184424
physionet_mi,Spatial_BPE_RF,1024,128,456,5fold-subject,2,0.32204246713852375,0.3219027763295511,0.3210535706993344,0.09594416901443015
physionet_mi,Spatial_BPE_RF,1024,128,456,5fold-subject,3,0.3590655154900965,0.358570248240153,0.3561061415153719,0.14514440544368512
physionet_mi,Spatial_BPE_RF,1024,128,456,5fold-subject,4,0.3240365111561866,0.32423839769090623,0.3236549690224085,0.09899338060687823
physionet_mi,Spatial_BPE_LogReg,1024,128,789,5fold-subject,0,0.3146303093864709,0.3144985635610422,0.3149529396299139,0.08601733760661823
physionet_mi,Spatial_BPE_LogReg,1024,128,789,5fold-subject,1,0.329608938547486,0.3295782730270022,0.32963951953357473,0.10608384255866077
physionet_mi,Spatial_BPE_LogReg,1024,128,789,5fold-subject,2,0.35085945399393326,0.350715509559876,0.34862521423931536,0.13443591064870486
physionet_mi,Spatial_BPE_LogReg,1024,128,789,5fold-subject,3,0.3148806500761808,0.3146078496051282,0.314144737794165,0.08641586776495658
physionet_mi,Spatial_BPE_LogReg,1024,128,789,5fold-subject,4,0.3291075050709939,0.3293788256167654,0.3281880736888116,0.10552206301838774
physionet_mi,Spatial_BPE_RF,1024,128,789,5fold-subject,0,0.33141059255374933,0.3309304029881808,0.326907682896778,0.10816987806327327
physionet_mi,Spatial_BPE_RF,1024,128,789,5fold-subject,1,0.3453529710512951,0.3455821201877293,0.343221849685904,0.1274299548663731
physionet_mi,Spatial_BPE_RF,1024,128,789,5fold-subject,2,0.33114256825075833,0.330922677729012,0.32943431660695766,0.10812960693403639
physionet_mi,Spatial_BPE_RF,1024,128,789,5fold-subject,3,0.3697308278313865,0.36924770850583616,0.3663108761054972,0.1593407878811649
physionet_mi,Spatial_BPE_RF,1024,128,789,5fold-subject,4,0.3225152129817444,0.3229870937194254,0.3213768128831259,0.09700027419797086
physionet_mi,Spatial_BPE_LogReg,1024,128,2024,5fold-subject,0,0.3413738856843209,0.3412549355852977,0.3417589784952256,0.12177074957366207
physionet_mi,Spatial_BPE_LogReg,1024,128,2024,5fold-subject,1,0.33164042661249366,0.331553136220095,0.33167802005294006,0.10878470986192579
physionet_mi,Spatial_BPE_LogReg,1024,128,2024,5fold-subject,2,0.33367037411526795,0.3336006298996142,0.33125810802475086,0.11155535168654285
physionet_mi,Spatial_BPE_LogReg,1024,128,2024,5fold-subject,3,0.33062468257998984,0.33026236311382373,0.3288627931351777,0.10732496959223325
physionet_mi,Spatial_BPE_LogReg,1024,128,2024,5fold-subject,4,0.3174442190669371,0.31765110710907174,0.31692548655387015,0.09007163386647343
physionet_mi,Spatial_BPE_RF,1024,128,2024,5fold-subject,0,0.34923964341898267,0.3489762660691603,0.34798083617679765,0.1320564353458077
physionet_mi,Spatial_BPE_RF,1024,128,2024,5fold-subject,1,0.33519553072625696,0.3353685850618366,0.3335252191908067,0.11380806712091063
physionet_mi,Spatial_BPE_RF,1024,128,2024,5fold-subject,2,0.339737108190091,0.33954257233497326,0.3374438095842718,0.11946973239837966
physionet_mi,Spatial_BPE_RF,1024,128,2024,5fold-subject,3,0.3412899949212798,0.3412475923416331,0.3403045440800546,0.1216270271887756
physionet_mi,Spatial_BPE_RF,1024,128,2024,5fold-subject,4,0.327079107505071,0.32776946653368677,0.32564306845076274,0.10322597448171111
sleep_edf,Spatial_BPE_LogReg,1024,128,42,5fold-subject,0,0.8124018112928565,0.6392166507380639,0.5927440027165357,0.6398249920378782
sleep_edf,Spatial_BPE_LogReg,1024,128,42,5fold-subject,1,0.8109756097560976,0.6654028811364718,0.6177693267239781,0.6597756683702185
sleep_edf,Spatial_BPE_LogReg,1024,128,42,5fold-subject,2,0.749954520647626,0.623394025727859,0.542367773553457,0.5527420565502932
sleep_edf,Spatial_BPE_LogReg,1024,128,42,5fold-subject,3,0.814107342527022,0.6188293211604738,0.576349800909613,0.6414634489429285
sleep_edf,Spatial_BPE_LogReg,1024,128,42,5fold-subject,4,0.8042799412196914,0.6591582695267604,0.594012367520682,0.6436282931297554
sleep_edf,Spatial_BPE_RF,1024,128,42,5fold-subject,0,0.8645226873671564,0.533784401214784,0.535069140803215,0.6899392027304825
sleep_edf,Spatial_BPE_RF,1024,128,42,5fold-subject,1,0.853299856527977,0.5317233635263208,0.5368867464028604,0.6924716602357057
sleep_edf,Spatial_BPE_RF,1024,128,42,5fold-subject,2,0.8697471348008005,0.5455746753919835,0.5146531884836143,0.7130900027350783
sleep_edf,Spatial_BPE_RF,1024,128,42,5fold-subject,3,0.8695490122996645,0.5271159095536487,0.5140275591167648,0.7073247509354045
sleep_edf,Spatial_BPE_RF,1024,128,42,5fold-subject,4,0.8430382072005878,0.5297672793477379,0.5095734647245898,0.6702178222889504
sleep_edf,Spatial_BPE_LogReg,1024,128,123,5fold-subject,0,0.8123093983920155,0.6445975136653848,0.5953060099129878,0.6388706810730926
sleep_edf,Spatial_BPE_LogReg,1024,128,123,5fold-subject,1,0.8096305595408895,0.6453540691625375,0.6087805518681302,0.6554629519907595
sleep_edf,Spatial_BPE_LogReg,1024,128,123,5fold-subject,2,0.750136438057122,0.6359424893072437,0.5483972204994374,0.5548221581141093
sleep_edf,Spatial_BPE_LogReg,1024,128,123,5fold-subject,3,0.8194185613119642,0.6409310822723447,0.5861502336066688,0.6503618541724305
sleep_edf,Spatial_BPE_LogReg,1024,128,123,5fold-subject,4,0.8068515797207936,0.6503450870022286,0.5915034399577033,0.6462378590527222
sleep_edf,Spatial_BPE_RF,1024,128,123,5fold-subject,0,0.8637833841604288,0.531113874012229,0.5324311096964733,0.6869531251471992
sleep_edf,Spatial_BPE_RF,1024,128,123,5fold-subject,1,0.851954806312769,0.5283708144222892,0.5362548511225661,0.6893187081685668
sleep_edf,Spatial_BPE_RF,1024,128,123,5fold-subject,2,0.8695652173913043,0.5413152853914848,0.5116623067921731,0.7125733974573603
sleep_edf,Spatial_BPE_RF,1024,128,123,5fold-subject,3,0.8679649645918748,0.5269530463004062,0.5145414832393294,0.7045366142953411
sleep_edf,Spatial_BPE_RF,1024,128,123,5fold-subject,4,0.8434055841293167,0.5303399612998801,0.5090401689058857,0.6706616916417598
sleep_edf,Spatial_BPE_LogReg,1024,128,456,5fold-subject,0,0.8039922373163294,0.6342124562616969,0.5822334779953893,0.6237064003260431
sleep_edf,Spatial_BPE_LogReg,1024,128,456,5fold-subject,1,0.8166248206599713,0.655555905863537,0.6189585532059911,0.6678562426992598
sleep_edf,Spatial_BPE_LogReg,1024,128,456,5fold-subject,2,0.7465890485719483,0.6290531707584452,0.5428566936815772,0.5485901387380143
sleep_edf,Spatial_BPE_LogReg,1024,128,456,5fold-subject,3,0.8201639955273947,0.6319642941903189,0.5859370158508894,0.6518052015724607
sleep_edf,Spatial_BPE_LogReg,1024,128,456,5fold-subject,4,0.8050146950771492,0.6529414581919404,0.5901080883594162,0.6442272619442864
sleep_edf,Spatial_BPE_RF,1024,128,456,5fold-subject,0,0.8636909712595878,0.5310873452948925,0.5335774170789245,0.6865470992835387
sleep_edf,Spatial_BPE_RF,1024,128,456,5fold-subject,1,0.8525824964131994,0.532604925709715,0.5353516050370425,0.6914367676459225
sleep_edf,Spatial_BPE_RF,1024,128,456,5fold-subject,2,0.8674731671820993,0.5384039554978891,0.5085298352478177,0.7084957223919433
sleep_edf,Spatial_BPE_RF,1024,128,456,5fold-subject,3,0.8685240402534476,0.5273256471819772,0.5161224354200318,0.7049382092522367
sleep_edf,Spatial_BPE_RF,1024,128,456,5fold-subject,4,0.8442321822189567,0.5313190431977209,0.5110748403666855,0.6730162486915858
sleep_edf,Spatial_BPE_LogReg,1024,128,789,5fold-subject,0,0.806857037242399,0.6354984311280739,0.5858378426184367,0.628769773387105
sleep_edf,Spatial_BPE_LogReg,1024,128,789,5fold-subject,1,0.8121413199426112,0.656083522765452,0.6169032266820352,0.6609075888622221
sleep_edf,Spatial_BPE_LogReg,1024,128,789,5fold-subject,2,0.7489539748953975,0.6240325073389004,0.5446185912860252,0.5520165628190772
sleep_edf,Spatial_BPE_LogReg,1024,128,789,5fold-subject,3,0.8237979873276183,0.6387854716663577,0.5899307570643588,0.6572635926692465
sleep_edf,Spatial_BPE_LogReg,1024,128,789,5fold-subject,4,0.8041880969875091,0.6504284673852376,0.5878520845440639,0.6426409647658939
sleep_edf,Spatial_BPE_RF,1024,128,789,5fold-subject,0,0.8604565197301544,0.5271860128800446,0.528022463526048,0.6788500299918907
sleep_edf,Spatial_BPE_RF,1024,128,789,5fold-subject,1,0.8524928263988523,0.5279299412826906,0.53279632511638,0.6907591952245165
sleep_edf,Spatial_BPE_RF,1024,128,789,5fold-subject,2,0.8702928870292888,0.5431359315678473,0.5150258458788397,0.7146001318296328
sleep_edf,Spatial_BPE_RF,1024,128,789,5fold-subject,3,0.8690831159150205,0.5283875896358063,0.5151352885705991,0.7068919842632351
sleep_edf,Spatial_BPE_RF,1024,128,789,5fold-subject,4,0.8412931667891257,0.5252452707411532,0.5039260065656854,0.6663358719249399
sleep_edf,Spatial_BPE_LogReg,1024,128,2024,5fold-subject,0,0.8111080306810831,0.6300786692167862,0.5870058841088621,0.6352577433458122
sleep_edf,Spatial_BPE_LogReg,1024,128,2024,5fold-subject,1,0.8098995695839312,0.6545446213126336,0.612721043534306,0.6575589155055117
sleep_edf,Spatial_BPE_LogReg,1024,128,2024,5fold-subject,2,0.7490449336001456,0.6387049472468102,0.5537840526273337,0.5545854469116891
sleep_edf,Spatial_BPE_LogReg,1024,128,2024,5fold-subject,3,0.8212821468505405,0.6263581802562392,0.5851080014170748,0.6529210611671026
sleep_edf,Spatial_BPE_LogReg,1024,128,2024,5fold-subject,4,0.8051065393093314,0.6574686515409813,0.593088149655914,0.6438132773761605
sleep_edf,Spatial_BPE_RF,1024,128,2024,5fold-subject,0,0.8628592551520192,0.5313982226305531,0.5351857384714925,0.6844233869159455
sleep_edf,Spatial_BPE_RF,1024,128,2024,5fold-subject,1,0.8556312769010043,0.5342320787331039,0.5390854009782464,0.6978133581706407
sleep_edf,Spatial_BPE_RF,1024,128,2024,5fold-subject,2,0.8664726214298708,0.5463907617924288,0.5140343076849294,0.708259734069592
sleep_edf,Spatial_BPE_RF,1024,128,2024,5fold-subject,3,0.8692694744688781,0.5314722237072471,0.5221736866988933,0.7073694429987611
sleep_edf,Spatial_BPE_RF,1024,128,2024,5fold-subject,4,0.8434974283614989,0.5298920472958641,0.5097974835638756,0.6705170611023261
mental_arithmetic,Spatial_BPE_LogReg,1024,128,42,5fold-subject,0,0.5666666666666667,0.5666666666666667,0.5636363636363636,0.1333333333333333
mental_arithmetic,Spatial_BPE_LogReg,1024,128,42,5fold-subject,1,0.5238095238095238,0.5238095238095238,0.5231174493596149,0.04761904761904767
mental_arithmetic,Spatial_BPE_LogReg,1024,128,42,5fold-subject,2,0.48095238095238096,0.4809523809523809,0.4809406108982063,-0.03809523809523818
mental_arithmetic,Spatial_BPE_LogReg,1024,128,42,5fold-subject,3,0.6238095238095238,0.6238095238095238,0.6237327345716812,0.24761904761904763
mental_arithmetic,Spatial_BPE_LogReg,1024,128,42,5fold-subject,4,0.680952380952381,0.680952380952381,0.6803652968036529,0.36190476190476195
mental_arithmetic,Spatial_BPE_RF,1024,128,42,5fold-subject,0,0.5458333333333333,0.5458333333333334,0.5381274386906548,0.09166666666666667
mental_arithmetic,Spatial_BPE_RF,1024,128,42,5fold-subject,1,0.5380952380952381,0.5380952380952381,0.5314548591144336,0.07619047619047614
mental_arithmetic,Spatial_BPE_RF,1024,128,42,5fold-subject,2,0.5571428571428572,0.5571428571428572,0.5566502463054187,0.11428571428571432
mental_arithmetic,Spatial_BPE_RF,1024,128,42,5fold-subject,3,0.7095238095238096,0.7095238095238094,0.7089893000749676,0.419047619047619
mental_arithmetic,Spatial_BPE_RF,1024,128,42,5fold-subject,4,0.6714285714285714,0.6714285714285715,0.6681096681096681,0.34285714285714286
mental_arithmetic,Spatial_BPE_LogReg,1024,128,123,5fold-subject,0,0.5583333333333333,0.5583333333333333,0.5575652173913044,0.1166666666666667
mental_arithmetic,Spatial_BPE_LogReg,1024,128,123,5fold-subject,1,0.5476190476190477,0.5476190476190477,0.5476087893149504,0.09523809523809523
mental_arithmetic,Spatial_BPE_LogReg,1024,128,123,5fold-subject,2,0.5571428571428572,0.5571428571428572,0.5568916619398752,0.11428571428571432
mental_arithmetic,Spatial_BPE_LogReg,1024,128,123,5fold-subject,3,0.6190476190476191,0.6190476190476191,0.6173469387755102,0.23809523809523814
mental_arithmetic,Spatial_BPE_LogReg,1024,128,123,5fold-subject,4,0.5666666666666667,0.5666666666666667,0.5664208735110607,0.1333333333333333
mental_arithmetic,Spatial_BPE_RF,1024,128,123,5fold-subject,0,0.5625,0.5625,0.5591245473153834,0.125
mental_arithmetic,Spatial_BPE_RF,1024,128,123,5fold-subject,1,0.5095238095238095,0.5095238095238095,0.5076369761671713,0.01904761904761909
