dataset,approach,seed,fold,accuracy,macro_f1,kappa,compression_ratio,mean_token_len_ms
epfl_p300,multiband_alpha_beta,456,5,0.5688657407407407,0.4736357915886234,0.01715039577836408,3.405416666666667,1.1891276041666667
epfl_p300,multiband_alpha_beta,456,6,0.5827546296296297,0.4783707459424607,0.015923566878981,3.405416666666667,1.1891276041666667
epfl_p300,multiband_alpha_beta,456,7,0.5798611111111112,0.46377792823290453,-0.0196629213483146,3.405416666666667,1.1891276041666667
epfl_p300,multiband_alpha_beta,456,8,0.6099537037037037,0.5082012069987687,0.06906077348066297,3.405416666666667,1.1891276041666667
epfl_p300,multiband_alpha_beta,456,9,0.5902777777777778,0.4951796669588081,0.053475935828877,3.405416666666667,1.1891276041666667
epfl_p300,multiband_alpha_beta,789,0,0.5943287037037037,0.488160093635847,0.030875576036866303,3.405416666666667,1.1891276041666667
epfl_p300,multiband_alpha_beta,789,1,0.6111111111111112,0.482279508145559,0.001980198019801982,3.405416666666667,1.1891276041666667
epfl_p300,multiband_alpha_beta,789,2,0.5868055555555556,0.48509615384615384,0.029891304347826053,3.405416666666667,1.1891276041666667
epfl_p300,multiband_alpha_beta,789,3,0.5804398148148148,0.4794884461641564,0.021152115211521272,3.405416666666667,1.1891276041666667
epfl_p300,multiband_alpha_beta,789,4,0.5931712962962963,0.4853270957161009,0.024514338575393202,3.405416666666667,1.1891276041666667
epfl_p300,multiband_alpha_beta,789,5,0.5804398148148148,0.4794884461641564,0.021152115211521272,3.405416666666667,1.1891276041666667
epfl_p300,multiband_alpha_beta,789,6,0.5815972222222222,0.470684907827512,-0.003237742830712209,3.405416666666667,1.1891276041666667
epfl_p300,multiband_alpha_beta,789,7,0.5792824074074074,0.46559921727940784,-0.014418604651162736,3.405416666666667,1.1891276041666667
epfl_p300,multiband_alpha_beta,789,8,0.6111111111111112,0.5076923076923077,0.06666666666666665,3.405416666666667,1.1891276041666667
epfl_p300,multiband_alpha_beta,789,9,0.5740740740740741,0.4809285924184543,0.03157894736842104,3.405416666666667,1.1891276041666667
epfl_p300,multiband_alpha_beta,2024,0,0.5844907407407407,0.4760956478117446,0.008287292817679592,3.405416666666667,1.1891276041666667
epfl_p300,multiband_alpha_beta,2024,1,0.6267361111111112,0.49563381320585403,0.023713420787083717,3.405416666666667,1.1891276041666667
epfl_p300,multiband_alpha_beta,2024,2,0.5844907407407407,0.47952855263511157,0.017335766423357768,3.405416666666667,1.1891276041666667
epfl_p300,multiband_alpha_beta,2024,3,0.5839120370370371,0.48509512274470723,0.032735426008968505,3.405416666666667,1.1891276041666667
