ablation,dataset,n_bins,vocab_size,classifier,seed,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,balanced_accuracy_mean,kappa_mean,timestamp
A9,bci_iv_2a,128,256,LogReg,456,0.2690972222222222,0.012221476899272502,0.2611882716049383,0.27663001543209886,0.2690972222222222,0.025462962962962958,2026-03-12T04:25:26.550154
A9,bci_iv_2a,128,256,LogReg,789,0.26774691358024694,0.01133366575738301,0.26060474537037037,0.27469135802469136,0.26774691358024694,0.023662551440329225,2026-03-12T04:25:26.551154
A9,bci_iv_2a,128,256,LogReg,2024,0.26736111111111116,0.012384800092032806,0.2594521604938272,0.27566068672839505,0.2673611111111111,0.023148148148148154,2026-03-12T04:25:26.552154
A9,bci_iv_2a,128,256,RF,42,0.2501929012345679,0.02028675435977609,0.2357253086419753,0.2609953703703704,0.2501929012345679,0.00025720164609052996,2026-03-12T04:25:26.553154
A9,bci_iv_2a,128,256,RF,123,0.2501929012345679,0.02028675435977609,0.23494888117283946,0.26099537037037035,0.2501929012345679,0.00025720164609052996,2026-03-12T04:25:26.554154
A9,bci_iv_2a,128,256,RF,456,0.2501929012345679,0.02028675435977609,0.2353346836419753,0.26176697530864196,0.2501929012345679,0.00025720164609052996,2026-03-12T04:25:26.555155
A9,bci_iv_2a,128,256,RF,789,0.2501929012345679,0.02028675435977609,0.23514660493827158,0.26061439043209883,0.2501929012345679,0.00025720164609052996,2026-03-12T04:25:26.556155
A9,bci_iv_2a,128,256,RF,2024,0.2501929012345679,0.02028675435977609,0.23591338734567902,0.2611882716049383,0.2501929012345679,0.00025720164609052996,2026-03-12T04:25:26.557155
A9,bci_iv_2a,128,512,LogReg,42,0.2631172839506173,0.010736821026293017,0.255979938271605,0.2700617283950617,0.2631172839506173,0.017489711934156382,2026-03-12T04:32:52.305399
A9,bci_iv_2a,128,512,LogReg,123,0.26523919753086417,0.012160430179378463,0.2569444444444445,0.27276234567901236,0.26523919753086417,0.020318930041152247,2026-03-12T04:32:52.307898
A9,bci_iv_2a,128,512,LogReg,456,0.2629243827160494,0.009926450872120835,0.2561728395061728,0.2689043209876544,0.2629243827160494,0.017232510288065814,2026-03-12T04:32:52.308899
A9,bci_iv_2a,128,512,LogReg,789,0.2644675925925926,0.010254655756174395,0.2577160493827161,0.27064043209876537,0.26446759259259256,0.019290123456790115,2026-03-12T04:32:52.309899
A9,bci_iv_2a,128,512,LogReg,2024,0.26215277777777773,0.014708640077706985,0.25231481481481477,0.2712191358024691,0.26215277777777773,0.016203703703703696,2026-03-12T04:32:52.310899
A9,bci_iv_2a,128,512,RF,42,0.25752314814814814,0.018608721285663807,0.24440586419753085,0.26948302469135804,0.25752314814814814,0.010030864197530878,2026-03-12T04:32:52.311899
A9,bci_iv_2a,128,512,RF,123,0.25752314814814814,0.018608721285663807,0.2451774691358025,0.26948784722222224,0.25752314814814814,0.010030864197530878,2026-03-12T04:32:52.312899
A9,bci_iv_2a,128,512,RF,456,0.25752314814814814,0.018608721285663807,0.24440104166666665,0.26929012345679015,0.25752314814814814,0.010030864197530878,2026-03-12T04:32:52.313899
A9,bci_iv_2a,128,512,RF,789,0.25752314814814814,0.018608721285663807,0.24497974537037037,0.26967592592592593,0.25752314814814814,0.010030864197530878,2026-03-12T04:32:52.314898
A9,bci_iv_2a,128,512,RF,2024,0.25752314814814814,0.018608721285663807,0.24593460648148147,0.2681327160493827,0.25752314814814814,0.010030864197530878,2026-03-12T04:32:52.315899
A9,bci_iv_2a,128,1024,LogReg,42,0.2648533950617284,0.021499619289455475,0.25038580246913583,0.2795138888888889,0.2648533950617284,0.019804526748971176,2026-03-12T04:40:59.746064
A9,bci_iv_2a,128,1024,LogReg,123,0.26543209876543217,0.018179854017489835,0.2532744984567902,0.27623939043209883,0.26543209876543217,0.020576131687242802,2026-03-12T04:40:59.748560
A9,bci_iv_2a,128,1024,LogReg,456,0.265625,0.0178368460734056,0.2546248070987654,0.2775848765432099,0.265625,0.020833333333333346,2026-03-12T04:40:59.749560
A9,bci_iv_2a,128,1024,LogReg,789,0.26350308641975306,0.01731819111686994,0.25173611111111105,0.2745081018518518,0.26350308641975306,0.018004115226337467,2026-03-12T04:40:59.750560
A9,bci_iv_2a,128,1024,LogReg,2024,0.2633101851851852,0.017186623153839693,0.2523148148148148,0.2748842592592593,0.26331018518518523,0.017746913580246913,2026-03-12T04:40:59.751560
A9,bci_iv_2a,128,1024,RF,42,0.2513503086419753,0.022184480660474636,0.2388069058641975,0.2662085262345679,0.2513503086419753,0.0018004115226337466,2026-03-12T04:40:59.752560
A9,bci_iv_2a,128,1024,RF,123,0.2513503086419753,0.022184480660474636,0.237842399691358,0.26544174382716057,0.2513503086419753,0.0018004115226337466,2026-03-12T04:40:59.753560
A9,bci_iv_2a,128,1024,RF,456,0.2513503086419753,0.022184480660474636,0.23861882716049385,0.26793981481481477,0.2513503086419753,0.0018004115226337466,2026-03-12T04:40:59.754560
A9,bci_iv_2a,128,1024,RF,789,0.2513503086419753,0.022184480660474636,0.23804012345679013,0.2689043209876543,0.2513503086419753,0.0018004115226337466,2026-03-12T04:40:59.755061
