ablation,dataset,condition,n_windows,window_sec,vocab_size,n_bins,method,seed,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,balanced_accuracy_mean,kappa_mean,timestamp
A13,sleep_edf,nwin_20,20,1.5,256,64,adaptive,2024,0.6940092247618104,0.18150685333261718,0.43735849056603776,0.8261955745895788,0.6025326935397703,0.5225636793845321,2026-03-22T02:34:21.379009
A13,sleep_edf,nwin_20,20,1.5,256,64,adaptive,42,0.749585715411983,0.1134931419552042,0.5901886792452831,0.845577746077033,0.5816468851521832,0.5628893372822915,2026-03-22T02:36:20.704620
A13,sleep_edf,nwin_20,20,1.5,256,64,adaptive,123,0.6887892555517882,0.1125632329312175,0.6,0.8476088508208423,0.596410127195384,0.48608297039963744,2026-03-22T02:36:20.706120
A13,sleep_edf,nwin_20,20,1.5,256,64,adaptive,456,0.7402298525586196,0.133684199253269,0.5532075471698114,0.8577032810271041,0.5752339384040482,0.548385120659546,2026-03-22T02:36:20.706621
A13,sleep_edf,nwin_20,20,1.5,256,64,adaptive,789,0.7343098490958854,0.1458688463881399,0.5283018867924528,0.8466476462196861,0.6086616824324792,0.556881259347929,2026-03-22T02:36:20.707620
A13,sleep_edf,nwin_20,20,1.5,256,64,adaptive,2024,0.7184985803026741,0.18520281247085846,0.4566037735849056,0.8504637124898559,0.5908050329767304,0.5496845871821608,2026-03-22T02:36:20.708621
A13,bci_iv_2a,nwin_2,2,2.0,256,64,adaptive,42,0.25752314814814814,0.012862332622044498,0.24305555555555555,0.2743055555555556,0.2575231481481482,0.010030864197530853,2026-03-22T02:45:22.912029
A13,bci_iv_2a,nwin_2,2,2.0,256,64,adaptive,123,0.2586805555555556,0.01299186592629842,0.24479166666666666,0.2760416666666667,0.2586805555555555,0.01157407407407407,2026-03-22T02:45:22.913037
A13,bci_iv_2a,nwin_2,2,2.0,256,64,adaptive,456,0.2569444444444444,0.010702107644043357,0.24479166666666666,0.2708333333333333,0.2569444444444445,0.009259259259259264,2026-03-22T02:45:22.914040
A13,bci_iv_2a,nwin_2,2,2.0,256,64,adaptive,789,0.25925925925925924,0.0137677977469564,0.24479166666666666,0.2777777777777778,0.25925925925925924,0.012345679012345697,2026-03-22T02:45:22.914540
A13,bci_iv_2a,nwin_2,2,2.0,256,64,adaptive,2024,0.2569444444444445,0.01299186592629842,0.24305555555555555,0.2743055555555556,0.2569444444444445,0.009259259259259264,2026-03-22T02:45:22.915540
A13,bci_iv_2a,nwin_2,2,2.0,256,64,adaptive,42,0.25752314814814814,0.012862332622044498,0.24305555555555555,0.2743055555555556,0.2575231481481482,0.010030864197530853,2026-03-22T02:45:24.257620
A13,bci_iv_2a,nwin_2,2,2.0,256,64,adaptive,123,0.25925925925925924,0.012055941351851668,0.24479166666666666,0.2743055555555556,0.25925925925925924,0.012345679012345697,2026-03-22T02:45:24.259124
A13,bci_iv_2a,nwin_2,2,2.0,256,64,adaptive,456,0.25925925925925924,0.012384800092032817,0.2465277777777778,0.2760416666666667,0.25925925925925924,0.012345679012345697,2026-03-22T02:45:24.259624
A13,bci_iv_2a,nwin_2,2,2.0,256,64,adaptive,789,0.25925925925925924,0.012384800092032817,0.2465277777777778,0.2760416666666667,0.25925925925925924,0.012345679012345697,2026-03-22T02:45:24.260624
