dataset,classifier,vocab_size,seed,cv_strategy,fold,accuracy,balanced_accuracy,macro_f1,kappa
bci_iv_2a,CSP_BPE_Seq_CNN,1024,42,LOSO,8,0.3125,0.3125,0.2794196024676836,0.08333333333333337
bci_iv_2a,CSP_BPE_Seq_CNN,1024,123,LOSO,0,0.3506944444444444,0.3506944444444444,0.34034940951900333,0.1342592592592593
bci_iv_2a,CSP_BPE_Seq_CNN,1024,123,LOSO,1,0.2569444444444444,0.2569444444444444,0.24713437773584412,0.0092592592592593
bci_iv_2a,CSP_BPE_Seq_CNN,1024,123,LOSO,2,0.3402777777777778,0.3402777777777778,0.31250604972725904,0.12037037037037035
bci_iv_2a,CSP_BPE_Seq_CNN,1024,123,LOSO,3,0.3159722222222222,0.3159722222222222,0.3064226860127454,0.08796296296296291
bci_iv_2a,CSP_BPE_Seq_CNN,1024,123,LOSO,4,0.28125,0.28125,0.25822111221987676,0.04166666666666663
bci_iv_2a,CSP_BPE_Seq_CNN,1024,123,LOSO,5,0.2829861111111111,0.2829861111111111,0.2698377855318019,0.04398148148148151
bci_iv_2a,CSP_BPE_Seq_CNN,1024,123,LOSO,6,0.3576388888888889,0.3576388888888889,0.3263077074885313,0.1435185185185185
bci_iv_2a,CSP_BPE_Seq_CNN,1024,123,LOSO,7,0.3194444444444444,0.3194444444444444,0.2772598609750563,0.09259259259259256
bci_iv_2a,CSP_BPE_Seq_CNN,1024,123,LOSO,8,0.2847222222222222,0.2847222222222222,0.27347845905865015,0.04629629629629628
bci_iv_2a,CSP_BPE_Seq_CNN,1024,456,LOSO,0,0.3871527777777778,0.3871527777777778,0.3627035705206152,0.18287037037037035
bci_iv_2a,CSP_BPE_Seq_CNN,1024,456,LOSO,1,0.2934027777777778,0.2934027777777778,0.29015523206464966,0.05787037037037035
bci_iv_2a,CSP_BPE_Seq_CNN,1024,456,LOSO,2,0.3333333333333333,0.33333333333333337,0.3021334276363806,0.11111111111111116
bci_iv_2a,CSP_BPE_Seq_CNN,1024,456,LOSO,3,0.2881944444444444,0.2881944444444444,0.28478048726076877,0.05092592592592593
bci_iv_2a,CSP_BPE_Seq_CNN,1024,456,LOSO,4,0.2604166666666667,0.26041666666666663,0.2450702325886019,0.01388888888888884
bci_iv_2a,CSP_BPE_Seq_CNN,1024,456,LOSO,5,0.2864583333333333,0.28645833333333337,0.27040361599185125,0.04861111111111116
bci_iv_2a,CSP_BPE_Seq_CNN,1024,456,LOSO,6,0.328125,0.328125,0.2664947544207282,0.10416666666666663
bci_iv_2a,CSP_BPE_Seq_CNN,1024,456,LOSO,7,0.3125,0.3125,0.3040519565851869,0.08333333333333337
bci_iv_2a,CSP_BPE_Seq_CNN,1024,456,LOSO,8,0.3229166666666667,0.3229166666666667,0.30981973751954556,0.09722222222222221
bci_iv_2a,CSP_BPE_Seq_CNN,1024,789,LOSO,0,0.3802083333333333,0.38020833333333337,0.3457657584045142,0.17361111111111116
bci_iv_2a,CSP_BPE_Seq_CNN,1024,789,LOSO,1,0.3020833333333333,0.30208333333333337,0.28200841606580584,0.06944444444444442
bci_iv_2a,CSP_BPE_Seq_CNN,1024,789,LOSO,2,0.3072916666666667,0.3072916666666667,0.28454961310243837,0.07638888888888884
bci_iv_2a,CSP_BPE_Seq_CNN,1024,789,LOSO,3,0.3142361111111111,0.31423611111111116,0.2995392887996269,0.08564814814814814
bci_iv_2a,CSP_BPE_Seq_CNN,1024,789,LOSO,4,0.2638888888888889,0.2638888888888889,0.22210369178438458,0.01851851851851849
bci_iv_2a,CSP_BPE_Seq_CNN,1024,789,LOSO,5,0.2760416666666667,0.27604166666666663,0.2655173122771215,0.03472222222222221
