ablation,dataset,condition,classifier,vocab_size,seed,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,balanced_accuracy_mean,kappa_mean,timestamp
A7,sleep_edf,BPE,Seq_CNN,4096,123,0.8650794280250975,0.021688448488528633,0.8456339331688361,0.8832008718752128,0.5342157856638913,0.670834846985964,2026-03-12T09:31:50.523146
A7,sleep_edf,BPE,Seq_CNN,4096,456,0.8641331625460434,0.024037104909436533,0.8394400685292247,0.8808790261022006,0.534148738506331,0.6866178886738888,2026-03-12T09:32:41.645643
A7,sleep_edf,BPE,Seq_CNN,4096,789,0.8381160547532834,0.04657375341544552,0.7912223585109658,0.873156147922678,0.5042530742314496,0.6331746215853876,2026-03-12T09:33:26.117823
A7,sleep_edf,BPE,Seq_CNN,4096,2024,0.8443848119125601,0.0452240913997918,0.7981240009719128,0.874354003100982,0.5214425290466774,0.6554647967902765,2026-03-12T09:34:16.525028
A7,sleep_edf,Random_Merges,Hist_LogReg,4096,42,0.635465565865238,0.0702028437175499,0.5661028845303678,0.6869682804672856,0.5212061190884978,0.3642768278525527,2026-03-12T09:46:41.830551
A7,sleep_edf,Random_Merges,Hist_LogReg,4096,123,0.639267948293987,0.07403909107777494,0.5695361976004915,0.6949608639225137,0.5271136780081493,0.36676295395057146,2026-03-12T09:46:41.837050
A7,sleep_edf,Random_Merges,Hist_LogReg,4096,456,0.66694565306829,0.03881381696010567,0.6348706728281287,0.7008493198884878,0.5266361016078065,0.4021976927498134,2026-03-12T09:46:41.839050
A7,sleep_edf,Random_Merges,Hist_LogReg,4096,789,0.6062173309584445,0.08801150051259853,0.5287019664277974,0.6837326954890915,0.5001056043673301,0.3411805827666764,2026-03-12T09:46:41.840050
A7,sleep_edf,Random_Merges,Hist_LogReg,4096,2024,0.6122733659112632,0.09064683047831947,0.5343892932414553,0.6901574385810711,0.5019404183516685,0.34553086796611865,2026-03-12T09:46:41.841549
A7,sleep_edf,Random_Merges,Seq_CNN,4096,42,0.8651144182342785,0.023574255551761628,0.8439869575218687,0.8850371347014845,0.5506470117166954,0.6835748373454194,2026-03-12T09:55:12.129460
A7,sleep_edf,Random_Merges,Seq_CNN,4096,123,0.868102567515065,0.021815210784498402,0.8525136217920146,0.8875871158911911,0.5449205169958139,0.679767643322774,2026-03-12T09:55:59.252485
A7,sleep_edf,Random_Merges,Seq_CNN,4096,456,0.8707091314887172,0.017476105054026626,0.8554409572142818,0.8850067794040983,0.548009425927934,0.7018534254393034,2026-03-12T09:56:48.764168
A7,sleep_edf,Random_Merges,Seq_CNN,4096,789,0.8447371892465755,0.045681104534160015,0.7984209069715826,0.8774852216301207,0.52408126997709,0.6497537893482945,2026-03-12T09:57:40.156686
