dataset,classifier,vocab_size,seed,cv_strategy,fold,accuracy,balanced_accuracy,macro_f1,kappa,auc_roc
bci_iv_2a,BPE_Windowed_LogReg,4096,123,LOSO,8,0.3194444444444444,0.3194444444444444,0.3052352341938982,0.0925925925925925,0.5829676247427984
bci_iv_2a,BPE_Windowed_LogReg,4096,456,LOSO,0,0.3246527777777778,0.3246527777777778,0.3253578228842766,0.099537037037037,0.5751872749485597
bci_iv_2a,BPE_Windowed_LogReg,4096,456,LOSO,1,0.25,0.25,0.2446619163438699,0.0,0.5179599086934157
bci_iv_2a,BPE_Windowed_LogReg,4096,456,LOSO,2,0.3194444444444444,0.3194444444444445,0.3187790990099628,0.0925925925925925,0.5788323045267489
bci_iv_2a,BPE_Windowed_LogReg,4096,456,LOSO,3,0.3211805555555556,0.3211805555555555,0.317811017570804,0.0949074074074074,0.5575488683127572
bci_iv_2a,BPE_Windowed_LogReg,4096,456,LOSO,4,0.2725694444444444,0.2725694444444444,0.263104800801466,0.0300925925925925,0.5264435442386832
bci_iv_2a,BPE_Windowed_LogReg,4096,456,LOSO,5,0.2899305555555556,0.2899305555555556,0.2908333053468963,0.0532407407407407,0.5271669238683127
bci_iv_2a,BPE_Windowed_LogReg,4096,456,LOSO,6,0.3020833333333333,0.3020833333333333,0.3011245398815049,0.0694444444444444,0.5679253472222222
bci_iv_2a,BPE_Windowed_LogReg,4096,456,LOSO,7,0.3142361111111111,0.3142361111111111,0.3090869307193322,0.0856481481481481,0.5840848443930041
bci_iv_2a,BPE_Windowed_LogReg,4096,456,LOSO,8,0.3142361111111111,0.3142361111111111,0.2989472336592174,0.0856481481481481,0.5830640753600823
bci_iv_2a,BPE_Windowed_LogReg,4096,789,LOSO,0,0.328125,0.328125,0.3290843353543796,0.1041666666666666,0.5751591435185185
bci_iv_2a,BPE_Windowed_LogReg,4096,789,LOSO,1,0.25,0.25,0.2446619163438699,0.0,0.5179719650205761
bci_iv_2a,BPE_Windowed_LogReg,4096,789,LOSO,2,0.3211805555555556,0.3211805555555556,0.3204530393462274,0.0949074074074074,0.5788242669753086
bci_iv_2a,BPE_Windowed_LogReg,4096,789,LOSO,3,0.3211805555555556,0.3211805555555555,0.317811017570804,0.0949074074074074,0.5575287744341564
bci_iv_2a,BPE_Windowed_LogReg,4096,789,LOSO,4,0.2760416666666667,0.2760416666666666,0.2672624944013443,0.0347222222222222,0.5262807838220165
bci_iv_2a,BPE_Windowed_LogReg,4096,789,LOSO,5,0.2899305555555556,0.2899305555555556,0.2907937515101786,0.0532407407407407,0.5271428112139918
bci_iv_2a,BPE_Windowed_LogReg,4096,789,LOSO,6,0.3020833333333333,0.3020833333333333,0.3010136589495349,0.0694444444444444,0.5679213284465021
bci_iv_2a,BPE_Windowed_LogReg,4096,789,LOSO,7,0.3142361111111111,0.3142361111111111,0.3090703288562517,0.0856481481481481,0.5840406378600823
bci_iv_2a,BPE_Windowed_LogReg,4096,789,LOSO,8,0.3159722222222222,0.3159722222222222,0.3010426910980092,0.0879629629629629,0.5830640753600823
bci_iv_2a,BPE_Windowed_LogReg,4096,2024,LOSO,0,0.3263888888888889,0.3263888888888889,0.3272016919710529,0.1018518518518518,0.5751189557613169
bci_iv_2a,BPE_Windowed_LogReg,4096,2024,LOSO,1,0.2517361111111111,0.2517361111111111,0.2464073149833384,0.0023148148148147,0.5179237397119341
bci_iv_2a,BPE_Windowed_LogReg,4096,2024,LOSO,2,0.3211805555555556,0.3211805555555556,0.3204530393462274,0.0949074074074074,0.5787800604423868
bci_iv_2a,BPE_Windowed_LogReg,4096,2024,LOSO,3,0.3229166666666667,0.3229166666666666,0.3196845344428727,0.0972222222222222,0.5574885866769548
bci_iv_2a,BPE_Windowed_LogReg,4096,2024,LOSO,4,0.2725694444444444,0.2725694444444444,0.2636112868365857,0.0300925925925925,0.5264274691358024
bci_iv_2a,BPE_Windowed_LogReg,4096,2024,LOSO,5,0.2899305555555556,0.2899305555555556,0.2907937515101786,0.0532407407407407,0.5271669238683127
bci_iv_2a,BPE_Windowed_LogReg,4096,2024,LOSO,6,0.3020833333333333,0.3020833333333333,0.3010136589495349,0.0694444444444444,0.5680338541666667
bci_iv_2a,BPE_Windowed_LogReg,4096,2024,LOSO,7,0.3142361111111111,0.3142361111111111,0.3090099120237266,0.0856481481481481,0.5840808256172839
bci_iv_2a,BPE_Windowed_LogReg,4096,2024,LOSO,8,0.3142361111111111,0.3142361111111111,0.2989472336592174,0.0856481481481481,0.5830520190329218
bci_iv_2a,BPE_WindowedSeq_CNN,4096,42,LOSO,0,0.3368055555555556,0.3368055555555556,0.2335301167825729,0.1157407407407407,0.5764130015432098
bci_iv_2a,BPE_WindowedSeq_CNN,4096,42,LOSO,1,0.2743055555555556,0.2743055555555556,0.2369514289040218,0.0324074074074074,0.5263109246399177
bci_iv_2a,BPE_WindowedSeq_CNN,4096,42,LOSO,2,0.3333333333333333,0.3333333333333333,0.2792217466636071,0.1111111111111111,0.6258881494341564
bci_iv_2a,BPE_WindowedSeq_CNN,4096,42,LOSO,3,0.3090277777777778,0.3090277777777778,0.260704587797797,0.0787037037037037,0.5676098733281892
bci_iv_2a,BPE_WindowedSeq_CNN,4096,42,LOSO,4,0.2934027777777778,0.2934027777777778,0.2240812682647844,0.0578703703703703,0.5169391396604939
bci_iv_2a,BPE_WindowedSeq_CNN,4096,42,LOSO,5,0.2725694444444444,0.2725694444444444,0.2351490221987793,0.0300925925925925,0.5622247138631686
bci_iv_2a,BPE_WindowedSeq_CNN,4096,42,LOSO,6,0.3107638888888889,0.3107638888888889,0.2669061238241822,0.0810185185185184,0.5588670267489713
bci_iv_2a,BPE_WindowedSeq_CNN,4096,42,LOSO,7,0.3038194444444444,0.3038194444444444,0.2352494784341007,0.0717592592592593,0.5658114711934156
bci_iv_2a,BPE_WindowedSeq_CNN,4096,42,LOSO,8,0.3524305555555556,0.3524305555555556,0.2775694408103221,0.136574074074074,0.5704812885802469
bci_iv_2a,BPE_WindowedSeq_CNN,4096,123,LOSO,0,0.3177083333333333,0.3177083333333333,0.2637224565183693,0.0902777777777777,0.5980500900205761
bci_iv_2a,BPE_WindowedSeq_CNN,4096,123,LOSO,1,0.2534722222222222,0.2534722222222222,0.1680646835005188,0.0046296296296296,0.5199411651234568
bci_iv_2a,BPE_WindowedSeq_CNN,4096,123,LOSO,2,0.3298611111111111,0.3298611111111111,0.2391226589772461,0.1064814814814815,0.6206697691615226
bci_iv_2a,BPE_WindowedSeq_CNN,4096,123,LOSO,3,0.3142361111111111,0.3142361111111111,0.2358526680290467,0.0856481481481481,0.5857204861111112
